#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,probe
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:10:00Z,-48.75,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:15:00Z,-48.61904762,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:25:00Z,-38.75,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:30:00Z,-40.41666667,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:35:00Z,-34.38709677,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:40:00Z,-40.2,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:45:00Z,-37.23404255,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:50:00Z,-38.58695652,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T09:55:00Z,-39.85714286,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:10:00Z,-42.1627907,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:15:00Z,-50.32758621,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:20:00Z,-44.45,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:25:00Z,-41.36206897,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:30:00Z,-55.37931034,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:35:00Z,-48.01724138,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T11:40:00Z,-61.23529412,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T12:30:00Z,-47.84,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T12:35:00Z,-49.18965517,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T12:40:00Z,-53.27586207,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T12:45:00Z,-51.94827586,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T12:50:00Z,-50.17073171,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T12:55:00Z,-52.29310345,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:00:00Z,-53.31372549,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:05:00Z,-53.8,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:10:00Z,-49.8490566,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:15:00Z,-45.44230769,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:20:00Z,-55.1,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:25:00Z,-44.44827586,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:30:00Z,-50.3877551,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:35:00Z,-47.84482759,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:40:00Z,-47.05172414,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:45:00Z,-48.72413793,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:50:00Z,-43.32608696,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T13:55:00Z,-50.22413793,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:00:00Z,-53.05172414,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:05:00Z,-46.51724138,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:10:00Z,-50,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:15:00Z,-54.01724138,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:20:00Z,-64.84482759,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:25:00Z,-63.70689655,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:30:00Z,-63.22413793,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:35:00Z,-63.34482759,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:40:00Z,-61.71186441,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:45:00Z,-65.24137931,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:50:00Z,-59.46551724,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T14:55:00Z,-43.79310345,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:00:00Z,-42.77586207,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:05:00Z,-38.79661017,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:10:00Z,-45.12068966,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:15:00Z,-53.13793103,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:20:00Z,-60.28813559,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:25:00Z,-56.43859649,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:30:00Z,-57.60416667,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:35:00Z,-50.66666667,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:40:00Z,-55.96610169,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:45:00Z,-62.81034483,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:50:00Z,-58.56896552,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T15:55:00Z,-46.43103448,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:00:00Z,-48.89655172,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:05:00Z,-58.16949153,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:10:00Z,-62.24137931,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:15:00Z,-61.27586207,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:20:00Z,-62.72413793,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:25:00Z,-61.84745763,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:30:00Z,-65.79310345,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:35:00Z,-67.16949153,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:40:00Z,-67.01724138,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:45:00Z,-55.05172414,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:50:00Z,-59.42372881,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T16:55:00Z,-62.96551724,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T17:00:00Z,-62.01694915,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T17:05:00Z,-61.34482759,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-16T17:10:00Z,-61.94545455,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T10:55:00Z,-56.63333333,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:00:00Z,-52.06896552,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:05:00Z,-55.06896552,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:10:00Z,-58.12068966,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:15:00Z,-59.05172414,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:20:00Z,-63.94827586,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:25:00Z,-52.67241379,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:30:00Z,-63.89473684,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:35:00Z,-63.31034483,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:40:00Z,-59.39655172,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:45:00Z,-56.65517241,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:50:00Z,-57.10344828,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T11:55:00Z,-60.43103448,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:00:00Z,-62.03389831,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:05:00Z,-65.37931034,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:10:00Z,-64.75862069,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:15:00Z,-62.46551724,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:20:00Z,-63.86206897,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:25:00Z,-64.70689655,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:30:00Z,-65.46551724,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:35:00Z,-64.45762712,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:40:00Z,-61.86206897,rssi,ble_rssi,Pi
,,0,2025-07-01T00:00:00Z,2025-08-10T00:00:00Z,2025-07-17T12:45:00Z,-59.9137931,rssi,ble_rssi,Pi
