id,session_id,timestamp,signal_type,frequency,bandwidth,rssi,antenna_id,location
7328,room01_20250709_151402,2025-07-09 14:14:12.760341,RC Low Band,27,1,-24.021384535866677,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7329,room01_20250709_151402,2025-07-09 14:14:12.760341,RC Aircraft,35,1,-22.70203897195325,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7330,room01_20250709_151402,2025-07-09 14:14:12.760341,RC Ground,40,1,-23.084701399867424,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7331,room01_20250709_151402,2025-07-09 14:14:12.760341,TETRA / Emergency,380,1,-6.27762716135606,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7332,room01_20250709_151402,2025-07-09 14:14:12.760341,TETRA / Emergency,385,1,-6.925221093741996,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7333,room01_20250709_151402,2025-07-09 14:14:12.760341,TETRA / Emergency,390,1,-7.95652935938758,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7334,room01_20250709_151402,2025-07-09 14:14:12.760341,TETRA / Emergency,395,1,-6.251735359415269,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7335,room01_20250709_151402,2025-07-09 14:14:12.760341,TETRA / Emergency,400,1,-6.81665814923554,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7336,room01_20250709_151402,2025-07-09 14:14:12.760341,LoRa / ISM 433,433,1,-5.702683155890401,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7337,room01_20250709_151402,2025-07-09 14:14:12.760341,ISM 868,869,1,-11.519591923010896,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7338,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 UL,880,1,-21.796829258177247,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7339,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 UL,889,1,-22.627958609124374,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7340,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 UL,898,1,-21.034858076360127,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7341,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 UL,906,1,-15.905663442174628,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7342,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 UL,915,1,-19.686942066137792,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7343,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 DL,925,1,-14.420220638642183,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7344,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 DL,934,1,-12.602732898523945,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7345,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 DL,942,1,-16.42404756814742,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7346,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 DL,951,1,-23.858580570399024,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7347,room01_20250709_151402,2025-07-09 14:14:12.760341,GSM 900 DL,960,1,-18.88090253228874,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7348,room01_20250709_151402,2025-07-09 14:14:12.760341,FM Radio,88,1,-16.450236172899196,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7349,room01_20250709_151402,2025-07-09 14:14:12.760341,FM Radio,93,1,-11.745413828493493,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7350,room01_20250709_151402,2025-07-09 14:14:12.760341,FM Radio,98,1,-7.215156495140123,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7351,room01_20250709_151402,2025-07-09 14:14:12.760341,FM Radio,103,1,-11.809274709415952,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7352,room01_20250709_151402,2025-07-09 14:14:12.760341,FM Radio,108,1,-15.76106656702201,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7353,room01_20250709_151402,2025-07-09 14:14:12.760341,Airband (AM),118,1,-17.261216191850856,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7354,room01_20250709_151402,2025-07-09 14:14:12.760341,Airband (AM),123,1,-10.574246124987003,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7355,room01_20250709_151402,2025-07-09 14:14:12.760341,Airband (AM),128,1,-8.730282195021545,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7356,room01_20250709_151402,2025-07-09 14:14:12.760341,Airband (AM),132,1,-11.197191295844767,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7357,room01_20250709_151402,2025-07-09 14:14:12.760341,Airband (AM),137,1,-15.667046563678964,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7358,room01_20250709_151402,2025-07-09 14:14:12.760341,AIS / Marine,162,1,-21.363956800865132,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7359,room01_20250709_151402,2025-07-09 14:14:12.760341,ADS-B 1090,1090,1,-27.794681504064688,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
